ingr,id,cal/g,fat(g),carb(g),protein(g)
cottage cheese,1,0.98,0.043,0.034,0.11
strawberries,2,0.33,0.003,0.08,0.007
garden salad,3,0.646,0.034,0.032,0.061
bacon,4,5.41,0.42,0.014,0.37
potatoes,5,0.77,0.001,0.17,0.02
caesar salad,6,0.44,0.021,0.043,0.032
cauliflower,7,0.25,0.003,0.05,0.018
scrambled eggs,8,1.48,0.11,0.016,0.1
wild rice,9,1.19,0.004,0.25,0.05
steak,10,2.71,0.19,0,0.25
cheese pizza,11,2.659,0.094,0.335,0.112
olives,12,1.15,0.107,0.063,0.008
berries,13,0.57,0.003,0.14,0.007
asparagus,14,0.204,0.001,0.039,0.022
hash browns,15,3.26,0.22,0.32,0.026
brussels sprouts,16,0.43,0.003,0.09,0.034
pasta salad,17,2.015,0.119,0.173,0.059
turkey,18,1.89,0.07,0.001,0.29
bread,19,2.654,0.042,0.423,0.135
squash,20,0.205,0.003,0.034,0.009
brown rice,21,1.11,0.009,0.23,0.026
beef,22,2.5,0.15,0,0.26
white rice,23,1.3,0.003,0.28,0.027
broccoli,24,0.35,0.004,0.07,0.024
chicken,25,1.65,0.036,0,0.31
mixed greens,26,0.28,0.004,0.053,0.022
lettuce,27,0.15,0.002,0.029,0.014
cucumbers,28,0.1,0,0.02,0.01
tomatoes,29,0.34,0.007,0.068,0.007
bell peppers,30,0.4,0.002,0.09,0.02
celery,31,0.16,0.002,0.034,0.007
blue cheese,32,3.53,0.29,0.023,0.21
spinach (raw),33,0.23,0.004,0.036,0.029
cantaloupe,34,0.34,0.002,0.08,0.008
pineapple,35,0.5,0.001,0.13,0.005
sausage,36,3.446,0.273,0.042,0.193
raspberries,37,0.53,0.007,0.12,0.012
blackberries,38,0.43,0.005,0.092,0.014
avocado,39,1.6,0.15,0.09,0.02
green beans,40,0.31,0.001,0.07,0.018
carrot,41,0.41,0.002,0.1,0.009
mushroom,42,0.22,0.003,0.033,0.031
corn,43,0.96,0.015,0.21,0.034
ham,44,1.45,0.06,0.015,0.21
fish,45,0.9,0.13,0,0.184
tofu,46,0.73,0.048,0.019,0.08
shrimp,47,0.99,0.003,0.002,0.24
cheese,48,4.02,0.33,0.013,0.25
nuts,49,6.07,0.54,0.21,0.2
apple,50,0.52,0.002,0.14,0.003
banana,51,0.89,0.003,0.23,0.011
kiwi,52,0.61,0.005,0.15,0.011
lemon,53,0.29,0.003,0.09,0.011
orange,54,0.47,0.001,0.12,0.009
oatmeal,55,0.68,0.014,0.12,0.024
tortilla,56,2.18,0.029,0.45,0.06
potato chips,57,5.36,0.35,0.53,0.07
noodles,58,1.38,0.021,0.25,0.045
syrup,59,2.6,0.001,0.67,0
figs,60,2.75,0,0.65,0.025
kale,61,0.49,0.007,0.09,0.033
radishes,62,0.16,0.001,0.034,0.007
pasta,63,1.316,0.011,0.248,0.051
brisket,64,1.552,0.072,0,0.21
almonds,65,5.781,0.495,0.227,0.224
turkey bacon,66,3.797,0.281,0.031,0.291
pickles,67,0.11,0.002,0.023,0.003
pecans,68,6.9,0.72,0.14,0.09
coleslaw,69,1.523,0.097,0.148,0.01
spaghetti,70,1.58,0.009,0.31,0.06
wine,71,0.85,0,0.026,0.001
onions,72,0.4,0.001,0.09,0.011
artichokes,73,0.47,0.002,0.11,0.033
multigrain bread,74,2.857,0.092,0.49,0.041
leeks,75,0.61,0.003,0.14,0.015
snow peas,76,0.81,0.004,0.14,0.05
grilled chicken,77,2.262,0.149,0.001,0.226
barbecue sauce,78,1.72,0.006,0.41,0.008
honeydew melons,79,0.36,0.001,0.09,0.005
ketchup,80,1.12,0.002,0.26,0.013
mayonnaise,81,6.8,0.75,0.006,0.01
tacos,82,2.26,0.13,0.201,0.088
watermelon,83,0.3,0.002,0.076,0.006
garlic,84,1.49,0.005,0.33,0.064
walnuts,85,6.533,0.642,0.139,0.151
mustard,86,0.613,0.033,0.06,0.037
egg whites,87,0.52,0.002,0.007,0.1
raisins,88,2.99,0.005,0.79,0.031
shallots,89,0.2,0.002,0.033,0.015
biscuits,90,3.525,0.162,0.447,0.07
succotash,91,0.99,0.01,0.2,0.05
caesar dressing,92,0.441,0.021,0.043,0.032
tuna salad,93,1.87,0.092,0.092,0.162
parmesan cheese,94,4.307,0.286,0.042,0.384
cabbage,95,0.21,0.005,0.032,0.013
bulgur,96,3.42,0.013,0.76,0.12
brown sugar,97,3.8,0,0.98,0.001
chicken thighs,98,1.772,0.083,0,0.239
apple cider,99,0.462,0.001,0.113,0.001
olive oil,100,8.84,1,0,0
parsnips,101,0.75,0.003,0.18,0.012
grapefruit juice,102,0.389,0.001,0.091,0.005
lasagna,103,1.35,0.05,0.154,0.072
bread crumbs,104,3.95,0.051,0.713,0.132
eggs,105,1.555,0.105,0.012,0.125
rice noodles,106,1.09,0.002,0.25,0.009
collards,107,0.313,0.006,0.053,0.03
chickpeas,108,1.64,0.026,0.27,0.09
vinegar,109,0,0,0,0
yam,110,1.241,0.002,0.294,0.016
fried rice,111,1.577,0.022,0.299,0.047
cod,112,0.847,0.005,0,0.189
buttermilk,113,0.402,0.009,0.048,0.033
blueberries,114,0.572,0.003,0.144,0.007
chili,115,0.4,0.004,0.089,0.018
corn on the cob,116,1.061,0.024,0.22,0.031
ice cream cones,117,4.189,0.071,0.79,0.079
pears,118,0.572,0.001,0.152,0.004
